University Name,Doctorates,grad students,floorspace,R&D expenditures,Class
Johns Hopkins U.,423,5865,3443376,3181385,R1
U. Pennsylvania,455,2576,1866823,1631950,R1
"U. California, Los Angeles",639,6401,2859688,1454880,R1
"U. California, San Diego",490,5192,2894742,1425499,R1
Stanford U.,815,5999,1679113,1274483,R1
Harvard U.,621,4209,2520226,1254008,R1
Duke U.,384,2972,1022120,1237686,R1
Cornell U.,472,5983,2117172,1183524,R1
Yale U.,410,2284,2523051,1165148,R1
Georgia Institute of Technology,563,5811,2686931,1114481,R1
New York U.,385,8608,1022810,1063704,R1
Vanderbilt U.,264,1860,1063121,1019273,R1
U. Florida,711,5587,4900656,959965,R1
U. Southern California,397,9267,1127596,955565,R1
Massachusetts Institute of Technology,568,4919,1784841,949076,R1
Northwestern U.,428,3801,2471282,913178,R1
Emory U.,211,1321,926026,852922,R1
"U. California, Berkeley",787,6442,2398328,846872,R1
"U. California, Davis",465,4551,3107790,817409,R1
U. Arizona,380,2673,1692190,770031,R1
Michigan State U.,478,2722,2678283,710178,R1
Arizona State U.,508,6501,1384196,677303,R1
Boston U.,315,4959,1060064,652096,R1
U. Iowa,286,1621,716085,553876,R1
North Carolina State U.,505,4804,2745202,547118,R1
"U. California, Irvine",393,3295,1611270,523752,R1
U. Georgia,400,2631,3969011,493944,R1
"Colorado State U., Fort Collins",220,1363,1154773,447197,R1
California Institute of Technology,145,1410,843304,438624,R1
U. Kentucky,324,1953,2706656,429241,R1
Case Western Reserve U.,193,2036,592106,421868,R1
U. Rochester,202,1591,828576,409255,R1
U. South Florida,304,3088,799485,405088,R1
Princeton U.,293,2451,790551,404448,R1
Carnegie Mellon U.,280,5763,681520,402376,R1
"U. Missouri, Columbia",271,1276,827875,388779,R1
U. Kansas,237,1721,871399,385637,R1
U. Miami,212,2042,390153,375841,R1
Virginia Commonwealth U.,186,1112,702406,364096,R1
Iowa State U.,325,1829,1586856,360275,R1
Washington State U.,245,1661,2332297,357648,R1
Florida State U.,333,2391,461800,328604,R1
Temple U.,232,1439,452630,299778,R1
Georgetown U.,125,2615,418780,279932,R1
Oregon State U.,244,2318,867567,276955,R1
Brown U.,172,2140,360383,276331,R1
Mississippi State U.,143,1122,2190892,275143,R1
Wake Forest U.,47,488,2422981,264216,R2
"U. California, Santa Barbara",296,2251,904568,248961,R1
Florida International U.,193,2071,561767,246075,R1
U. Notre Dame,240,1647,621326,240324,R1
Clemson U.,220,2115,816541,237485,R1
Wayne State U.,163,1546,934485,235519,R1
U. Delaware,206,2246,477630,231532,R1
U. Central Florida,282,2503,706596,218596,R1
George Mason U.,233,2521,352261,214207,R1
Northeastern U.,193,6586,526275,211342,R1
Rice U.,162,2029,339793,207404,R1
Georgia State U.,197,2091,216400,206472,R1
Tulane U.,119,1519,1140131,205206,R1
Kansas State U.,199,1248,1222596,203846,R1
U. Houston,338,2366,703369,202536,R1
Thomas Jefferson U.,18,206,290257,200393,R2
U. Louisville,130,1044,591955,200362,R1
West Virginia U.,194,1537,612835,199907,R1
Texas Tech U.,375,2454,747366,197739,R1
U. Vermont,63,674,347188,195320,R2
Wichita State U.,30,744,1293077,192042,R2
U. Dayton,25,1126,488090,191228,R2
"U. California, Riverside",268,2398,1159746,189600,R1
U. Louisiana at Lafayette,42,504,824640,181400,R1
"U. Nevada, Reno",134,1301,558287,175386,R1
New Jersey Institute of Technology,95,1303,139208,166587,R1
"U. Arkansas, Fayetteville",200,850,815358,164443,R1
North Dakota State U.,106,665,1682991,164050,R1
"U. California, Santa Cruz",167,1549,664464,160615,R1
Drexel U.,149,1399,422739,152752,R1
Syracuse U.,130,1844,206524,151717,R1
U. Maine,65,837,732345,146801,R1
U. North Dakota,69,502,285734,143506,R2
U. Oregon,163,1173,522364,139193,R1
U. Rhode Island,83,806,272313,129296,R2
Brandeis U.,75,1053,258013,107549,R1
U. Idaho,79,621,482503,105895,R2
"U. Nevada, Las Vegas",106,790,262695,101009,R1
U. Wyoming,84,814,779049,93202,R2
"U. Maryland, Baltimore County",88,1069,354712,84418,R1
Michigan Technological U.,84,794,348801,81715,R2
Colorado School of Mines,87,1219,277844,81443,R1
"U. North Texas, Denton",211,2383,227877,81252,R1
Saint Louis U.,106,1072,536307,79005,R2
Texas State U.,49,997,242183,72510,R2
Cleveland State U.,42,1132,136023,71451,R2
Northern Arizona U.,43,723,249608,69129,R2
American U.,36,1239,75208,65912,R2
Old Dominion U.,150,621,261106,62332,R1
Florida Atlantic U.,96,672,291338,58471,R2
Rochester Institute of Technology,51,1348,246227,56043,R2
Howard U.,96,486,491701,52412,R2
Mercer U.,8,231,203060,51989,R2
East Carolina U.,50,536,287424,51662,R2
South Dakota State U.,58,417,654837,51542,R2
Baylor U.,97,1223,275194,48809,R1
Worcester Polytechnic Institute,62,782,143246,48702,R2
U. South Alabama,34,422,217756,47610,R2
Boise State U.,25,430,129564,46065,R2
"U. California, Merced",56,647,498698,45964,R2
Stevens Institute of Technology,50,2085,86404,43386,R2
Southern Methodist U.,84,572,174398,41960,R2
Portland State U.,86,664,221662,41311,R2
Lehigh U.,87,824,223456,41279,R2
U. Denver,86,1537,122791,38751,R1
Georgia Southern U.,1,455,257224,37201,R2
Marquette U.,56,468,134258,37087,R2
Illinois Institute of Technology,88,1279,140807,29698,R2
Louisiana Tech U.,33,253,231015,27417,R2
Tennessee State U.,31,246,159538,26880,R2
Rowan U.,2,430,161378,26458,R2
Chapman U.,36,222,94235,25820,R2
Northern Illinois U.,60,710,131721,25261,R2
Villanova U.,28,435,102550,24723,R2
Nova Southeastern U.,80,210,208656,24513,R2
Illinois State U.,35,417,562552,24152,R2
Marshall U.,21,369,231389,23620,R2
Creighton U.,2,84,143393,23251,R2
Florida Institute of Technology,58,634,234776,23195,R2
Middle Tennessee State U.,37,0,57751,22531,R2
Central Michigan U.,23,369,295526,21726,R2
Morgan State U.,40,353,231806,20628,R2
Oakland U.,48,515,130731,20261,R2
Kennesaw State U.,10,509,73066,18880,R2
East Tennessee State U.,25,451,185044,18449,R2
Prairie View A&M U.,13,147,234300,17582,R2
Montclair State U.,28,901,82269,17390,R2
U. New Orleans,37,205,118887,16979,R2
Clarkson U.,28,280,141696,16765,R2
Fordham U.,89,432,83162,16731,R2
U. Tulsa,40,371,140641,16449,R2
